Year,Month,State,cdd,hdd,pcp,tavg,tmax,tmin
2021,7,Illinois,269.0,5.0,4.97,74.6,83.9,65.3
2021,7,Indiana,265.0,4.0,5.44,73.7,83.2,64.2
2021,7,Iowa,270.0,10.0,4.01,73.4,83.7,63.0
2021,7,Kansas,399.0,1.0,2.8,77.7,89.8,65.6
2021,7,Kentucky,337.0,0.0,6.2,75.8,85.8,65.9
2021,7,Louisiana,526.0,0.0,6.79,81.8,90.3,73.2
2021,7,Maine,62.0,56.0,5.46,63.7,73.4,54.0
2021,7,Maryland,392.0,0.0,4.34,77.2,87.4,67.1
2021,7,Massachusetts,170.0,4.0,10.41,69.8,78.3,61.4
2021,7,Michigan,201.0,10.0,4.14,68.7,79.6,57.9
2021,7,Minnesota,208.0,16.0,1.8,71.1,83.4,58.8
2021,7,Mississippi,478.0,0.0,7.23,80.4,89.5,71.3
2021,7,Missouri,358.0,1.0,4.86,76.7,86.5,66.8
2021,7,Montana,193.0,24.0,0.65,72.5,88.7,56.3
2021,7,Nebraska,322.0,10.0,2.54,75.0,87.7,62.3
2021,7,Nevada,661.0,0.0,0.84,77.8,92.9,62.6
2021,7,New Hampshire,88.0,33.0,10.58,65.6,74.6,56.5
2021,7,New Jersey,320.0,0.0,7.62,75.7,85.6,65.9
2021,7,New Mexico,294.0,2.0,2.92,73.3,86.3,60.2
2021,7,New York,213.0,6.0,8.1,67.7,76.9,58.5
2021,7,North Carolina,390.0,0.0,5.88,77.1,86.9,67.2
2021,7,North Dakota,279.0,12.0,1.26,73.8,87.6,60.0
2021,7,Ohio,247.0,2.0,5.66,73.0,82.7,63.2
2021,7,Oklahoma,467.0,0.0,3.68,80.0,91.1,68.8
2021,7,Oregon,158.0,16.0,0.16,71.4,87.4,55.4
2021,7,Pennsylvania,258.0,3.0,6.24,71.2,81.7,60.7
2021,7,Rhode Island,196.0,0.0,7.35,71.2,79.2,63.3
2021,7,South Carolina,443.0,0.0,6.6,79.4,88.8,69.9
2021,7,South Dakota,296.0,14.0,2.47,75.3,88.7,61.9
2021,7,Tennessee,376.0,0.0,5.06,77.0,86.7,67.4
2021,7,Texas,527.0,0.0,4.0,80.9,91.2,70.6
